Feature,VIF
MSSubClass,2.8111290717010475
MasVnrArea,2.107198136195685
BsmtFinSF1,5.253396883409354
BsmtFinSF2,1.2354142735177955
BsmtUnfSF,3.995496552513903
2ndFlrSF,3.2705335719437327
LowQualFinSF,1.0506631891541929
BsmtFullBath,3.1516424342377327
BsmtHalfBath,1.1929005527422134
HalfBath,2.7132498985393005
Fireplaces,2.398145648053559
GarageArea,7.805892307480969
WoodDeckSF,2.192292976293587
OpenPorchSF,2.7614024649032616
EnclosedPorch,1.2623432342745438
3SsnPorch,1.0347193300296853
ScreenPorch,1.1719548193921696
PoolArea,1.0452171100701517
MiscVal,1.0458266708913697
MoSold,5.096267625667957
